min_af,min_dp,min_qual,require_gt,miner_n,tp,fp,fn,precision,recall,f1,gt_match,gt_total
0.0,0,0.0,any,17,11,6,2,0.6470588235294118,0.8461538461538461,0.7333333333333334,7,11
0.0,0,0.0,het,17,11,6,2,0.6470588235294118,0.8461538461538461,0.7333333333333334,7,11
0.0,0,0.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.0,0,20.0,any,17,11,6,2,0.6470588235294118,0.8461538461538461,0.7333333333333334,7,11
0.0,0,20.0,het,17,11,6,2,0.6470588235294118,0.8461538461538461,0.7333333333333334,7,11
0.0,0,20.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.0,0,40.0,any,17,11,6,2,0.6470588235294118,0.8461538461538461,0.7333333333333334,7,11
0.0,0,40.0,het,17,11,6,2,0.6470588235294118,0.8461538461538461,0.7333333333333334,7,11
0.0,0,40.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.0,0,60.0,any,17,11,6,2,0.6470588235294118,0.8461538461538461,0.7333333333333334,7,11
0.0,0,60.0,het,17,11,6,2,0.6470588235294118,0.8461538461538461,0.7333333333333334,7,11
0.0,0,60.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.0,0,80.0,any,17,11,6,2,0.6470588235294118,0.8461538461538461,0.7333333333333334,7,11
0.0,0,80.0,het,17,11,6,2,0.6470588235294118,0.8461538461538461,0.7333333333333334,7,11
0.0,0,80.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.0,10,0.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.0,10,0.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.0,10,0.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.0,10,20.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.0,10,20.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.0,10,20.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.0,10,40.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.0,10,40.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.0,10,40.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.0,10,60.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.0,10,60.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.0,10,60.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.0,10,80.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.0,10,80.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.0,10,80.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.0,15,0.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.0,15,0.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.0,15,0.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.0,15,20.0,any,0,0,0,13,0.0,0.0,0.0,0,0
